SKU,PDF page,Printed page,Unresolved fields
"OLF330","92","71","thicknessIn"
"OLF336","92","71","thicknessIn"
"OLF339","92","71","thicknessIn"
"OLF342","92","71","thicknessIn"
"OLF384","92","71","thicknessIn"
"OLF390","92","71","thicknessIn"
"OLF393","92","71","thicknessIn"
"OLF396","92","71","thicknessIn"
"OLF630","92","71","thicknessIn"
"OLF636","92","71","thicknessIn"
"OLF639","92","71","thicknessIn"
"OLF642","92","71","thicknessIn"
"SK W39","104","83","widthIn; heightIn"
"W0939","29","8","widthIn"
"W1239","29","8","widthIn"
"W1539","29","8","widthIn"
"W1839","29","8","widthIn"
"W2139","29","8","widthIn"
"W2439","29","8","widthIn"
"W2739","29","8","widthIn"
"W3039","29","8","widthIn"
"W3339","29","8","widthIn"
"W3639","29","8","widthIn"
"W3939","29","8","widthIn"
"WBC2439","29","8","widthIn"
"WBC3039","29","8","widthIn"
"WBC3639","29","8","widthIn"
"W0942","31","10","widthIn"
"W1242","31","10","widthIn"
"W1542","31","10","widthIn"
"W1842","31","10","widthIn"
"W2142","31","10","widthIn"
"W2442","31","10","widthIn"
"W2742","31","10","widthIn"
"W3042","31","10","widthIn"
"W3342","31","10","widthIn"
"W3642","31","10","widthIn"
"W3942","31","10","widthIn"
"DS GDW1530","33","12","widthIn; heightIn"
"DS GDW1536","33","12","widthIn; heightIn"
"DS GDW1539","33","12","widthIn; heightIn"
"DS GDW1542","33","12","widthIn; heightIn"
"DS GDW1830","33","12","widthIn; heightIn"
"DS GDW1836","33","12","widthIn; heightIn"
"DS GDW1839","33","12","widthIn; heightIn"
"DS GDW1842","33","12","widthIn; heightIn"
"DS GDW2430","33","12","widthIn; heightIn"
"DS GDW2436","33","12","widthIn; heightIn"
"DS GDW2439","33","12","widthIn; heightIn"
"DS GDW2442","33","12","widthIn; heightIn"
"DS GDW3030","33","12","widthIn; heightIn"
"DS GDW3036","33","12","widthIn; heightIn"
"DS GDW3039","33","12","widthIn; heightIn"
"DS GDW3042","33","12","widthIn; heightIn"
"DS GDW3630","33","12","widthIn; heightIn"
"DS GDW3636","33","12","widthIn; heightIn"
"DS GDW3639","33","12","widthIn; heightIn"
"DS GDW3642","33","12","widthIn; heightIn"
"DS GDWD1857","33","12","widthIn; heightIn"
"DS GDWD1860","33","12","widthIn; heightIn"
"DS GDWDC2430","33","12","widthIn; heightIn"
"DS GDWDC2436","33","12","widthIn; heightIn"
"DS GDWDC2439","33","12","widthIn; heightIn"
"DS GDWDC2442","33","12","widthIn; heightIn"
"NDW1230","35","14","widthIn; heightIn"
"NDW1530","35","14","widthIn; heightIn"
"NDW1830","35","14","widthIn; heightIn"
"NDW2430","35","14","widthIn; heightIn"
"NDW3030","35","14","widthIn; heightIn"
"NDW3630","35","14","widthIn; heightIn"
"NDW1236","35","14","widthIn; heightIn"
"NDW1536","35","14","widthIn; heightIn"
"NDW1836","35","14","widthIn; heightIn"
"NDW2436","35","14","widthIn; heightIn"
"NDW3036","35","14","widthIn; heightIn"
"NDW3636","35","14","widthIn; heightIn"
"NDW1539","35","14","widthIn; heightIn"
"NDW1839","35","14","widthIn; heightIn"
"NDW2439","35","14","widthIn; heightIn"
"NDW3039","35","14","widthIn; heightIn"
"NDW3639","35","14","widthIn; heightIn"
"NDW1242","35","14","widthIn; heightIn"
"NDW1542","35","14","widthIn; heightIn"
"NDW1842","35","14","widthIn; heightIn"
"NDW2442","35","14","widthIn; heightIn"
"NDW3042","35","14","widthIn; heightIn"
"NDW3642","35","14","widthIn; heightIn"
"SPO-WF330","81","60","widthIn; heightIn; depthIn"
"SPO-WF336","81","60","widthIn; heightIn; depthIn"
"SPO-WF339","81","60","widthIn; heightIn; depthIn"
"SPO-WF342","81","60","widthIn; heightIn; depthIn"
"SPO-WF630","81","60","widthIn; heightIn; depthIn"
"SPO-WF636","81","60","widthIn; heightIn; depthIn"
"SPO-WF639","81","60","widthIn; heightIn; depthIn"
"SPO-WF642","81","60","widthIn; heightIn; depthIn"
"LSP24 30","81","60","widthIn; heightIn; depthIn"
"LSP24 36/42","81","60","widthIn; heightIn; depthIn"
"LSW24 30","81","60","widthIn; heightIn; depthIn"
"LSW24 36/42","81","60","widthIn; heightIn; depthIn"
"LSW27 30","81","60","widthIn; heightIn; depthIn"
"LSW27 36/42","81","60","widthIn; heightIn; depthIn"
"WF330","91","70","widthIn; heightIn; thicknessIn"
"WF336","91","70","widthIn; heightIn; thicknessIn"
"WF339","91","70","widthIn; heightIn; thicknessIn"
"WF342","91","70","widthIn; heightIn; thicknessIn"
"WF630","91","70","widthIn; heightIn; thicknessIn"
"WF636","91","70","widthIn; heightIn; thicknessIn"
"WF639","91","70","widthIn; heightIn; thicknessIn"
"WF642","91","70","widthIn; heightIn; thicknessIn"
"TF396","91","70","widthIn; heightIn; thicknessIn"
"TF696","91","70","widthIn; heightIn; thicknessIn"
"TF3120","91","70","widthIn; heightIn; thicknessIn"
"BF3","91","70","widthIn; thicknessIn"
"BF6","91","70","widthIn; thicknessIn"
"REP1-1/2","103","82","thicknessIn"
"REP30120 x 1-1/2","103","82","thicknessIn"
"REP3","103","82","thicknessIn"
"REP30120 x 3","103","82","thicknessIn"
"REP3096 x 1 1/2","103","82","thicknessIn"
"REP3096 x 3","103","82","thicknessIn"
"PAN-1/4","103","82","heightIn"
"PLY-1/2","103","82","heightIn"
"PLY-3/4","103","82","heightIn"
